"U.S. AMERICAN 
LIFT-SERVED 
Hickory Hills,U.S. - Michigan,237,,,125,60,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,$215*,$215*,N/A,N/A,$215*,$215*,N/A,Summer,*City resident pass discounted
Homestead,U.S. - Michigan,225,,,16,150,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Summer,
Marquette Mountain (UP),U.S. - Michigan,500,,,330,210,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,$477,N/A,N/A,$386,$454,N/A,Yes,Indy add-on available
Missaukee Mountain,U.S. - Michigan,500,,,25,90,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Track operations via Facebook page 
Mont Ripley (UP),U.S. - Michigan,440,,,112,275,Yes,,Independent,,,,,,Indy Allied,"""25% weekend/holiday, 50% weekday discount""",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,$475,N/A,N/A,$485,$485,N/A,Yes,View reciprocal partners here.
Mount Bohemia (UP),U.S. - Michigan,900,,,585,273,No,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$109,$109,N/A,Yes,View reciprocal partners here.
Mount Brighton,U.S. - Michigan,230,,,130,60,Yes,,Vail Resorts,2012,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$580,$580,NO,N/A,NO,$542,$565,No,N/A,$501,$580,No,Yes,
Mount Holiday,U.S. - Michigan,180,,,45,120,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$249,$249,N/A,N/A,$229,$285,N/A,Summer,
Mount Holly,U.S. - Michigan,350,,"1,115",100,42,Yes,,Wisconsin Resorts,N/A,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$699,$699,N/A,9/30,$701,$825,N/A,Yes,"Unlimited access: Alpine Valley (WI), Alpine Valley (MI), Pine Knob, Mt. Holly, Bittersweet, Searchmont (Ontario)"
Mount McSauba,U.S. - Michigan,150,,,80,130,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$270*,$270*,N/A,No,*Resident pass discounted; track operations via Facebook page 
Mount Zion (UP),U.S. - Michigan,300,,,20,200,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$220,$220,N/A,Yes,Track operations via Facebook page
Mulligan’s Hollow,U.S. - Michigan,130,,,7,60,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,$264,$264,N/A,N/A,$264,$264,N/A,Summer,Track operations via Facebook page 
Norway Mountain,U.S. - Michigan,500,,,186,50,Yes,,Independent,,,,,,"Indy, Freedom","Indy+ 2, Indy Base 2, Freedom 3",Yes,No,Yes,No,No,Yes,,,,,,,$289,$289,No,N/A,N/A,N/A,N/A,No,Track operations via Facebook page.
Nub’s Nob,U.S. - Michigan,427,,,248,123,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,$720,$720,N/A,10/10,$630,$700,N/A,Yes,
Otsego,U.S. - Michigan,400,,,160,155,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$630,$630,N/A,Summer,
Pine Knob,U.S. - Michigan,300,,,80,60,Yes,,Wisconsin Resorts,N/A,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$699,$699,N/A,9/30,$701,$825,N/A,Summer,"Unlimited access: Alpine Valley (WI), Alpine Valley (MI), Pine Knob, Mt. Holly, Bittersweet, Searchmont (Ontario)"
Pine Mountain (UP),U.S. - Michigan,500,,,80,60,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$299,$299,4/30,N/A,NO,$299,$349,N/A,7/31,$269,$399,N/A,No,View reciprocal partners here.
Porkies (UP),U.S. - Michigan,640,,,200,200,No,,Independent,,,Porcupine Mountains,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$225,$225,N/A,Yes,View reciprocal partners here.
Sault Seal (UP),U.S. - Michigan,76,,,,N/A,No,,Independent,,,,,,,,Yes,No,No,Yes,No,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,"Not enough snow to open for 23/24; re-opened briefly for 24/25, but then closed due to mechanical failure"
Shanty Creek - Schuss,U.S. - Michigan,450,,,80,160,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,$445,$445,NO,8/31,NO,$350,$375,No,8/28,$350,$465,N/A,Yes,
Ski Brule (UP),U.S. - Michigan,500,,,150,150,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$365,$380,No,7/31,$350,$445,No,Yes,View reciprocal partners here
Snow Snake,U.S. - Michigan,210,,,40,60,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$200,$250,N/A,Yes,
Snowriver: Black River (UP),U.S. - Michigan,490,,,170,204,Yes,,Midwest Family Ski Resorts,2022,,Blackjack,,,Indy,"Indy+ 2S, Indy Base 2S",Yes,No,Yes,No,Yes,Yes,,$790,$790,NO,5/15,NO,$675,$775,N/A,10/15,$475,$700,N/A,No,"Unlimited access: Granite Peak, Lutsen Mountain, Snowriver       "
Snowriver: Jackson Creek (UP),U.S. - Michigan,538,,,230,204,Yes,,Midwest Family Ski Resorts,2022,,Indianhead,,,Indy,"Indy+ 2S, Indy Base 2S",Yes,No,Yes,No,Yes,Yes,,$790,$790,NO,5/15,NO,$675,$775,N/A,10/15,$475,$700,N/A,Yes,"Unlimited access: Granite Peak, Lutsen Mountain, Snowriver  "
Swiss Valley,U.S. - Michigan,225,,,60,60,Yes,,Perfect Family,2025,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,$289,$389,N/A,OS-Fall,$299,$485,N/A,No,View reciprocal partners here.
The Highlands ,U.S. - Michigan,552,,,435,140,Yes,,Boyne Resorts,1963,,"Boyne Highlands, Harbor Highlands",,,"Ikon, New England Pass","Ikon 7 | Base 5B | Session B, NE Gold 3",Yes,No,Yes,No,Yes,Yes,,$689,$689,$669,3/18,YES,$930,$979,No,N/A,$739,$849,N/A,Yes,"Unlimited Boyne Mountain and Highlands; 3 days each at Big Sky, Sugarloaf, Sunday River, Loon, Pleasant Mountain, Summit at Snoqualmie, Brighton, and Cypress"
Timber Ridge,U.S. - Michigan,150,,,50,80,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$349,$349,No,N/A,$349,$550,N/A,Summer,View reciprocal partners here.
Tower Mountain,U.S. - Michigan,100,,,,N/A,No,,Independent,,,,,,,,Yes,No,No,Yes,No,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,Summer,Not enough snow to open for 23/24; should re-open for 24/25; follow operations on Facebook page; Does not offer season pass - free always for everyone; 
Treetops,U.S. - Michigan,225,,,80,150,Yes,,Independent,,,Treetops-Sylvan,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$125,$349,N/A,N/A,$149,$159,N/A,Yes,View reciprocal partners here.
MI,,,,,5270,,,,,,,,,,,,43,1,30,14,40,44,,,,,,,,,,,,,,21,
MINNESOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afton Alps,U.S. - Minnesota,350,,,300,60,Yes,,Vail Resorts,2012,,,,,Epic,Epic/Local U | Day All/32/22,Yes,No,Yes,No,Yes,Yes,,$514,$514,NO,N/A,NO,$480,$501,N/A,N/A,$444,$484,N/A,Yes,
Andes Tower Hills,U.S. - Minnesota,290,,,35,55,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$339,$339,NO,N/A,YES,$329*,$475*,No,N/A,$329,$475,No,No,*Discounts available for those living 100 miles or more away from Andes Tower Hills
Buck Hill,U.S. - Minnesota,309,,,45,60,Yes,,Independent,,,,,,Ikon,Ikon 2B,Yes,No,Yes,No,Yes,Yes,,$495,$495,NO,5/31,YES,$395,$395,No,5/31,$395,$495,No,Yes,
Buena Vista,U.S. - Minnesota,230,,,30,78,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,$375,N/A,N/A,$375,$375,N/A,No,
Chester Bowl,U.S. - Minnesota,175,,,6,100,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$85*,$85*,N/A,N/A,$85,$85,N/A,Yes,*Volunteer requirement as well; View reciprocal partners here.
Cloquet Nordic Ski Club,U.S. - Minnesota,N/A,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$30,$30,N/A,No,Private club for local youth to practice ski jumping.
Coffee Mill,U.S. - Minnesota,425,,,40,48,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$375,$435,N/A,N/A,$375,$435,N/A,No,
Como,U.S. - Minnesota,150,,,15,N/A,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Track operations via Facebook page
Detroit Mountain,U.S. - Minnesota,210,,,45,47,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$349,$349,NO,9/30,NO,N/A,N/A,N/A,N/A,$375,$450,N/A,No,
Elm Creek,U.S. - Minnesota,100,,,,N/A,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$249,$249,N/A,No,Track operations via Facebook page
Giants Ridge,U.S. - Minnesota,500,,,202,62,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,$387,$387,NO,N/A,NO,$367,$407,N/A,10/20,$399,$499,Yes,Yes,
Hyland Hills,U.S. - Minnesota,185,,,35,60,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$474,$499,No,10/31,$474,$499,Yes,No,Track operations via Facebook page
Lutsen Mountains,U.S. - Minnesota,825,,,393,120,Yes,,Midwest Family Ski Resorts,1980,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,$790,$790,NO,5/15,NO,$675,$775,N/A,10/15,$675,N/A - last $750,$99,Yes,"Unlimited access: Granite Peak, Lutsen Mountain, Snowriver; Indy add-on available	"
Mount Itasca,U.S. - Minnesota,180,,,,N/A,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$189,$189,N/A,No,
Mount Kato,U.S. - Minnesota,240,,,65,50,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$359,$359,NO,10/31,NO,$349,$399,N/A,N/A,$399,$499,N/A,No,
Mount Ski Gull,U.S. - Minnesota,230,,,55,50,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$130,$190,N/A,6/30,$140,$160,N/A,No,View reciprocal partners here
Powder Ridge,U.S. - Minnesota,300,,,60,45,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$381.50,$381.50,NO,8/31,NO,$374.50,$381.50,No,8/31,$374.50,$545.00,N/A,No,
Spirit Mountain,U.S. - Minnesota,700,,,174,100,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$375,$375,NO,3/31,NO,$375,$505,$350 (ended),N/A,$359,$619,No,Yes,View reciprocal partners here
Steeplechase,U.S. - Minnesota,240,,,45,N/A,Yes,,Independent,,,,,,Freedom,Freedom 3,Yes,No,Yes,No,Yes,Yes,,,,,,,$200,$225,No,N/A,N/A,N/A,No,No,
Welch Village,U.S. - Minnesota,360,,,140,45,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,$349,$349,NO,4/2,NO,$329,$329,N/A,OS-July,$329,$530,No,Yes,
Wild Mountain,U.S. - Minnesota,300,,,100,50,Yes,,Independent,,,,,,Ikon,Ikon 2B,Yes,No,Yes,No,Yes,Yes,,$329,$329,NO,4/21,$35,$314,$399,N/A,10/7,$314,$459,$59,No,
MN,,,,,1785,,,,,,,,,,,,21,0,18,3,21,21,,,,,,,,,,,,,,7,
MISSOURI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Valley,U.S. - Missouri,320,,,65,19,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local U | Day All/32/22,Yes,No,Yes,No,Yes,Yes,,$407,$407,NO,N/A,NO,$380,$397,No,N/A,$351,$384,No,No,
Snow Creek,U.S. - Missouri,300,,,35,20,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local U | Day All/32/22,Yes,No,Yes,No,Yes,Yes,,$343,$343,NO,N/A,NO,$320,$334,No,N/A,$296,$328,No,No,
MO,,,,,100,,,,,,,,,,,,2,0,2,0,2,2,,,,,,,,,,,,,,0,
MONTANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Paw,U.S. - Montana,900,,,80,140,,,Independent,,,,,,,,Yes,No,Yes,No,No,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Not enought snow to open for 23/24; should re-open for 24/25
Bear Canyon,U.S. - Montana,590,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area owned by Mount Elise Academy
Big Sky,U.S. - Montana,"4,350",,,"5,800",400,Yes,,Boyne Resorts,1974,"2,200","[Moonlight Basin, Spanish Peaks]",https://skimap.org/skiareas/view/361,,"Ikon, Mountain Collective, New England Pass","Ikon 7 | Base 5B | Session B, MC 2, NE Gold 3",Yes,No,Yes,No,Yes,Yes,,"$2,400","$2,400",5/8,OS-3/27,,"$2,300","$3,200",N/A,N/A,"$2,299","$2,250",N/A,Yes,"3 days each at Summit at Snoqualmie, Cypress, Brighton, Boyne Mountain, The Highlands, Sugarloaf, Sunday River, Loon, Pleasant Mountain"
Blacktail,U.S. - Montana,"1,440",,,"1,000",250,,,Larry Scrivanich,2021,,,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2, Powder Alliance 3B",Yes,No,Yes,No,Yes,Yes,,,,,,,$450,$450,$419,5/31,$415,$450,N/A,No,Unlimited Mission Ridge Monday through Friday and 3 additional days any day of the season; view reciprocal partners here.
Bridger Bowl,U.S. - Montana,"2,700",,,"2,000",300,,,Independent,,"1,200",,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$910,$910,N/A,7/31,$800,$875,N/A,Yes,
Discovery,U.S. - Montana,"2,388",,,"2,200",215,,,Independent,,360,Discovery Basin,https://skimap.org/skiareas/view/366,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,$665,N/A,$469,$439,N/A,No,
Great Divide,U.S. - Montana,"1,500",,,"1,600",180,,,Independent,,,,https://skimap.org/skiareas/view/371,https://liftblog.com/great-divide-mt/,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$350,$575,N/A,11/30,$330,N/A,Yes,Yes,View reciprocal partners here.
Lost Trail ,U.S. - Montana,"1,800",,,"1,800",325,,,Independent,,,,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2, Powder Alliance 3B",Yes,No,Yes,No,Yes,Yes,,,,,,,$475,$575,N/A,9/30,$395,$425,N/A,No,
Maverick Mountain,U.S. - Montana,"2,020",,,255,250,,,Independent,,150,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$450,$500,N/A,No,
Montana Snowbowl,U.S. - Montana,"2,600",,,"2,000",300,,,Independent,,"1,200",,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,$758,$758,N/A,N/A,$670,$718,N/A,No,
Red Lodge,U.S. - Montana,"2,400",,,"1,635",250,,,JMA Ventures,2007,500,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,$799,$939,N/A,9/30,$699,$759,Yes,Yes,View reciprocal partners here.
Showdown,U.S. - Montana,"1,400",,,640,255,,,Independent,,640,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$299,N/A,N/A,N/A,$299,$349,N/A,No,
Teton Pass,U.S. - Montana,"1,000",,,407,250,,,Independent,,,Rocky Mountain High,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$300,$349,N/A,No,
Turner,U.S. - Montana,"2,110",,,"1,000",200,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$570,$570,N/A,No,
Whitefish,U.S. - Montana,"2,353",,,"3,000",320,,,Independent,,"3,000",Big Mountain,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$749,$749,N/A,9/30,$739,"$1,440",N/A,No,View reciprocal partners here.
Yellowstone Club,U.S. - Montana,"2,700",,,"2,700",300,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,
MT,,,,,"26,117",,,,,,,,,,,,14,2,15,1,15,16,,,,,,,,,,,,,,4,
NEVADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond Peak,U.S. - Nevada,"1,840",,,655,188,,,Independent,,655,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$499*,$560*,N/A,N/A,$454*,$799*,N/A,No,*Incline Village pass discounted; view reciprocal partner list here.
Elko Snobowl,U.S. - Nevada,700,"6,300","7,000",60,24,,,Independent,,100,,,,,,Yes,No,Yes,No,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Track operations via Facebook page.
Lee Canyon,U.S. - Nevada,860,,,195,129,,,Mountain Capital Partners,2023,,,,,Power,Power U | Select 12SB | Core 4SB,Yes,No,Yes,No,Yes,Yes,,$749,$749,NO,N/A,YES,$749,$849,No,N/A,$749,"$1,249",Yes,Yes,Access details here.
Mt. Rose,U.S. - Nevada,"1,800",,,"1,200",350,,,Independent,,900,[Slide Mountain],,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$775,$925,No,N/A,$725,"$1,175",Yes,No,
Sky Tavern,U.S. - Nevada,673,,,,N/A,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,*Community ski area focused on learning - pass price is for adult volunteers
NV,,,,,2110,,,,,,,,,,,,4,1,5,0,5,5,,,,,,,,,,,,,,1,
NEW HAMPSHIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abenaki (Wolfboro),U.S. - New Hampshire,215,,,18,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$150*,$150*,N/A,No,*Resident pass discounted; track operations via Facebook page.
Arrowhead,U.S. - New Hampshire,120,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$100,$120,N/A,No,Track operations via Facebook page.
Attitash,U.S. - New Hampshire,"1,750",,,311,120,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here
Black Mountain,U.S. - New Hampshire,"1,100",,,140,125,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$449,$449,NO,N/A,YES,N/A,N/A,N/A,N/A,$499,$649,N/A,Yes,
Bretton Woods,U.S. - New Hampshire,"1,500",,,464,200,Yes,,Omni Hotels,2015,,,,,,,Yes,No,Yes,No,Yes,Yes,,"$1,229","$1,229",NO,5/31,YES,"$1,045","$1,275",No,N/A,$995,"$1,329",No,Yes,
Campton,U.S. - New Hampshire,313,,,,N/A,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$250*,$250*,N/A,Yes,*Waterville Estates members pass discounted; track operations via Facebook page.
Cannon,U.S. - New Hampshire,"2,180",,,285,160,Yes,,Independent,,,[Mittersill],,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,$799*,$799*,NO,4/30,YES,$799*,$899*,No,FINAL PRICE,$789*,$899,$50,Yes,*New Hampshire resident discounted
Clancy (Cardigan Mtn School),U.S. - New Hampshire,60,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for Cardigan Mountain School
Cranmore,U.S. - New Hampshire,"1,200",,,170,120,Yes,,Fairbank Group,2010,,,,,"Ikon, Uphill New England",Ikon 2B,Yes,No,Yes,No,Yes,Yes,,$869,$869,NO,5/31,,$819,$819,$775,5/31,$775,"$1,139",Yes,Yes,
Crotched,U.S. - New Hampshire,"1,016",,,100,65,Yes,,Vail Resorts,2019,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here
Dartmouth Skiway,U.S. - New Hampshire,968,,,104,100,Yes,,Independent,,,,,,"Indy, Uphill New England","Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,$399*,$399*,No,N/A,$399*,$599,N/A,No,*Discount passes available for Dartmouth students/faculty etc
Gateway Hills,U.S. - New Hampshire,40,,,,N/A,,,Independent,,,,,,,,N/A,N/A,N-N/A,Y-N/A,No,Y,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Has not operated since 2018; installed snowgun in 2023
Granite Gorge,U.S. - New Hampshire,525,,,25,100,Yes,,Independent,,,Pinnacle,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$349,$359,No,N/A,$309,$359,No,Yes,
Gunstock,U.S. - New Hampshire,"1,400",,,227,120,Yes,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,$650,$650,NO,4/30,NO,$615,$765,No,10/31,$589,$899,No,Yes,
Kanc Recreation Area,U.S. - New Hampshire,221,,,7,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$200*,$200*,N/A,Yes,*Resident rate discounted; track operations on Facebook page.
King Pine,U.S. - New Hampshire,350,,,45,82,Yes,,Independent,,,,,,"Indy Allied, Uphill New England","""25% weekend/holiday, 50% weekday discount""",Yes,No,Yes,No,Yes,Yes,,$595,$595,5/31,NO,NO,$595,$660,No,10/14,$579,$689,Yes,Yes,
Loon,U.S. - New Hampshire,"2,190",,,400,160,Yes,,Boyne Resorts,2007,,,,,"Ikon, New England Pass","Ikon 7 | Base 5B | Session B, NE Gold U | Silver/Bronze UB",Yes,No,Yes,No,Yes,Yes,,"$1,449","$1,449","$1,389",3/26,NO,"$1,389","$1,599","ENDED $1389 (started $1,329)",N/A,"$1,359","$1,619",Yes,Yes,"Unlimited access: Sugarloaf, Sunday River, Loon. 3 days each at Big Sky, Brighton, Snoqualmie, Cypress, Boyne Mountain, The Highlands, Pleasant Mountain; Ikon Base Pass add-on available."
McIntyre,U.S. - New Hampshire,170,,,37,N/A,Yes,,Independent,,,,,,"Indy Allied, Freedom","""25% weekend/holiday, 50% weekday discount"", Freedom 3",Yes,No,Yes,No,Yes,Yes,,,,,,,$369,$429,No,8/1,$339,$439,Yes,Yes,
Mount Eustis,U.S. - New Hampshire,240,,,,N/A,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$50,$50,N/A,No,Track operations via Facebook page
Mount Propect Ski Tow,U.S. - New Hampshire,250,,,,N/A,,,Independent,,,,,,,,N/A,N/A,N-N/A,Y-N/A,No,No,,,,,,,N/A,N/A,N/A,N/A,$50,$50,N/A,No,"Shut down for ""maintenance"" in 2022 and never re-opened; still intends to; track operations via Facebook page"
Mount Sunapee,U.S. - New Hampshire,"1,510",,,233,130,Yes,,Vail Resorts,2018,,,,,Epic,Epic/Local/NE V U | NE M UM | All/32/22,Yes,No,Yes,No,Yes,Yes,,$642,$642,NO,N/A,NO,$600,$613,No,N/A,$555,$603,No,Yes,Access details here
Norm Wright (Dublin School),U.S. - New Hampshire,100,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for Dublin School
Pats Peak,U.S. - New Hampshire,770,,,115,100,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,$499,$499,NO,4/15,YES,$499,$569,No,9/4,$489,$689,Yes,Yes,
Proctor,U.S. - New Hampshire,436,,,,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for Proctor Academy
